,Emp34Id,EmpLastName,EmpFirstName,EmpLocationDesc,facility_city,facility_state,facility_zip,EmpDepartment,EmpDepartmentName,EmpPositionDesc,MgrTitle,Mgr34Id,EmpRNExperienceDate,latitude,longitude
412,04d25c03-7b59-423b-a96a-aff507b0f754,Friesen,Maleia,St Marks Hospital,Salt Lake City,UT,84124.0,70316,Open Heart Surgery,Supv Surgery CVOR,Dir Surgery,c5b0b70e-68e2-459d-bab7-2f5a8a679819,,40.6772,-111.8133
542,e135d722-4e0e-4484-9b55-dd1fe11fa2a6,Kutch,Laquanna,Timpanogos Regional Medical Ct,Orem,UT,84059.0,34426,Timpanogos Reg Med Ctr,CFO Timpanogos Reg Med Ctr,CEO Timpanogos Reg Med Ctr,653ea03c-d9de-484a-bec5-4bb68922e5ee,,40.177,-111.536
580,96fa0d9a-6a60-4963-85c9-a6b32653b307,Ankunding,Lyles,Lone Peak Hospital,Draper,UT,84020.0,76214,Phy Ther,Lead Physical Therapist,Dir Diagnostic Imaging,17db08cc-c88b-43f6-b433-7b0d36a422e9,,40.5046,-111.881
668,5a101d54-0aa2-4fbe-a132-b518a8e9d298,Lang,Alante,St Marks Hospital,Salt Lake City,UT,84124.0,66016,Patient Unit OB/GYN,Mgr OB,Dir OB,5300fe46-84b2-442d-bda0-37325b6b97b5,,40.6772,-111.8133
773,c59670b6-28a9-441d-b4b3-45dc17dec26d,Moen,Ke'ira,Lakeview Hospital,Bountiful,UT,84010.0,73620,Laboratory,Supv Laboratory,Dir Laboratory,,,40.8775,-111.8727
903,af75327a-c0a1-4591-9bbc-03d848d79994,Quigley,Norissa,Timpanogos Regional Medical Ct,Kaysville,UT,84037.0,71809,Pharmacy Directors,Dir Pharm C,VP Pharm Svcs,c0840345-2f59-4a97-bf51-da828e0e7a3a,,41.0375,-111.9326
938,8d13ebdf-5fd1-433c-9fd5-35a5824f33f8,Kohler,Shelly,Ogden Regional Medical Center,Ogden,UT,84405.0,60017,Nursing Administration,Supv House Admin,Dir Critical Care,304e7764-c750-46d5-8eb9-726d8f6da640,10/1/2019,41.1739,-111.9809
952,f545e04b-8a2a-49e3-8a54-ab596d5a8544,Hauck,Baby-kenya,St Marks Hospital,Salt Lake City,UT,84124.0,70716,Patient Unit L&D,Mgr L&D,Dir OB,5300fe46-84b2-442d-bda0-37325b6b97b5,11/6/2006,40.6772,-111.8133
965,a2499dd3-1961-4482-a786-74cb6af1bd99,Dietrich,Nathon,Lone Peak Hospital,Draper,UT,84020.0,70114,Surgery,Dir Surgical Svcs,CNO,0363989d-7f27-4335-9949-780b1f1d9eef,8/9/2010,40.5046,-111.881
986,aef41127-bc8f-424e-bbcb-9d039aa81aef,Williamson,Xzavion,St Marks Hospital,Kaysville,UT,84037.0,87709,St Marks Hospital,Mgr Cath Lab/Inv Rad Mat,VP Resource Mgmt,b98dc8ac-1820-4a9f-be24-2a08d9b6fc69,,41.0375,-111.9326
1165,4180173d-273b-4f54-9b62-857bc4574ec3,Cummerata,Bg-rosie,Lone Peak Hospital,Draper,UT,84020.0,67514,NICU,Dir Neonatal ICU,CNO,0363989d-7f27-4335-9949-780b1f1d9eef,,40.5046,-111.881
1168,ed62f1c0-67ba-4843-9c55-75d72576f27f,Walker,Karanita,Lone Peak Hospital,Draper,UT,84020.0,60014,Nurs Admin,Supv House Admin,Dir Clinical Operations,21c0c937-5ec1-4f1b-93f5-47115e2ab774,,40.5046,-111.881
1309,2b7ad637-e569-4adc-a6fe-d50be44f7590,Bayer,Durgut,MountainStar Healthcare,Salt Lake City,UT,84121.0,90074,Mountain Division,Div VP Quality,Div CMO & Div VP Clin Resource,49f779e8-82d8-4ea4-9eca-c9b53a8993be,,40.6226,-111.7777
1320,edb6225d-9326-4c69-b927-528404f6ec85,Feil,Magaly,Ogden Regional Medical Center,Kaysville,UT,84037.0,87609,Ogden Reg Med Ctr,Asst Dir SC Ops,Dir SC Ops D,1a238d2b-3bf9-4d9a-a330-3fc109ebe71b,,41.0375,-111.9326
1340,8b38567d-c366-4f6a-91dd-99fc3950574b,Nicolas,Gatsy,Timpanogos Regional Medical Ct,Orem,UT,84059.0,60118,Nursing Administration,Supv House Admin,CNO,b688b7ff-1eef-4e8f-a2ea-7f9df3dd465a,11/6/2011,40.177,-111.536
1429,328c7335-45e9-44be-8de3-fbbe15994b7c,Greenfelder,Kaydin,Ogden Regional Medical Center,Ogden,UT,84405.0,60017,Nursing Administration,Supv House Admin,Dir Critical Care,304e7764-c750-46d5-8eb9-726d8f6da640,5/28/2021,41.1739,-111.9809
1438,241511b0-c415-4376-b3a7-b158a417c70a,Kohler,Leeahna,MountainStar Healthcare,Draper,UT,84020.0,89927,Undefined,Div Mgr Transition to Practice,Div Dir Clinical Ed Programs,f6b8b511-fabe-47b2-86cd-def199f5c10a,,40.5046,-111.881
1444,d1c8e6ff-5db8-4f17-9ec1-bf73f93a0b0e,Wisozk,Harve,MountainStar Healthcare,Draper,UT,84020.0,90027,Administration,Supv Clinical Ed Operations,Div VP Clinical Education,c4f924c4-944c-4c31-8d13-5fb435bb6062,,40.5046,-111.881
1478,c23cb93a-37e8-4f5c-8b9c-ed77aba4f72e,Strosin,Jasvir,St Marks Hospital,Salt Lake City,UT,84124.0,71216,Pharmacy,Mgr Pharmacy Clinical,Dir Pharmacy,0f52d161-f204-4ddf-b2b6-e2d4e47aa65f,,40.6772,-111.8133
1481,d506eeda-8585-4a38-aeb3-c3aa840f985e,Beahan,Laquette,Ogden Regional Medical Center,Ogden,UT,84405.0,75717,Central Sterile,Mgr Central Sterile,Dir Surgical Svcs,9ff684b7-28a8-4b17-baa3-6136104e9540,1/10/2020,41.1739,-111.9809
1491,54d76e77-545e-4e77-97d2-abab6d265d7a,Lind,Dadriene,Timpanogos Regional Medical Ct,Orem,UT,84059.0,90218,Accounting,Asst Controller,Controller,a4c09101-28a5-4e2d-860b-71c2ae258c8e,,40.177,-111.536
1625,0d78cfb7-582c-47e3-9c24-2a19906f22ce,Stoltenberg,Avayah,Ogden Regional Medical Center,Ogden,UT,84405.0,70117,Operating Room,Supv Surgery CVOR,Mgr Surgery,be912d8d-8331-4dcf-ada3-dce7b0113685,,41.1739,-111.9809
1635,71b76c73-d44b-436c-8b70-01dcb7181c81,Corwin,Stearnes,MountainStar Healthcare,Salt Lake City,UT,84121.0,94612,Quality,Div AVP Infection Prevention,Div VP Quality,2b7ad637-e569-4adc-a6fe-d50be44f7590,,40.6226,-111.7777
1683,8960ddca-2858-4393-87b8-0a5b2ced9b73,Waters,Dariusz,Lakeview Hospital,Bountiful,UT,84010.0,90220,Accounting,Controller,CFO,a55c1a8b-747e-46a1-816b-97837647453a,,40.8775,-111.8727
1696,4a7b9d16-2b2c-4c6e-8145-020051164754,Reichert,Youssif,Lakeview Hospital,Bountiful,UT,84010.0,80020,Dietary,Dir Food & Nutrition Svcs,Asst Administrator,22ce1999-67db-4d5e-b186-ed6504276b6c,,40.8775,-111.8727
1722,023e2b9e-abbf-4b57-9efc-42a393d5ff45,Witting,Stewart,St Marks Hospital,Salt Lake City,UT,84124.0,74216,Cardiac Rehabilitation,Supv Cardiopulmonary Rehab,Dir OT/PT/ST,37bc2a30-17f3-4465-8b44-9fd58748a62d,,40.6772,-111.8133
1835,7b921ba9-d29b-4514-9b0e-9996cbcb1b8f,Wunsch,Dorli,Ogden Regional Medical Center,Ogden,UT,84405.0,70417,Recovery Room,Mgr PACU,Dir Surgical Svcs,9ff684b7-28a8-4b17-baa3-6136104e9540,3/26/2008,41.1739,-111.9809
1857,5300fe46-84b2-442d-bda0-37325b6b97b5,Schultz,Demettera,St Marks Hospital,Salt Lake City,UT,84124.0,66016,Patient Unit OB/GYN,Dir OB,Asst CNO,c0a6bf9e-e783-4e09-8e48-78d436775c17,11/30/2008,40.6772,-111.8133
1898,7236ea49-7853-423a-8865-345c032e608c,Brekke,Caileah,Lakeview Hospital,Bountiful,UT,84010.0,89720,Risk Management,Dir Patient Safety,Dir Quality/Risk Mgmt,9524c116-1c97-4b00-b291-d7140e9a4573,,40.8775,-111.8727
1956,29e85b7f-4fa7-45bd-8cda-cb5758f74db5,Medhurst,Mutazz,Brigham City Comm Hospital,Brigham City,UT,84302.0,76219,Therapy Services,Dir Cardiopulm Rehab/PT/ST,CNO,6b5bc097-29ae-450b-ac8c-860ad819559d,,41.5079,-112.0152
1963,f555f725-fd13-4e2b-8604-6b9ee844e7f3,Dicki,Khristana,Brigham City Comm Hospital,Brigham City,UT,84302.0,94619,Total Quality,Dir Quality/Risk Mgmt,CNO,6b5bc097-29ae-450b-ac8c-860ad819559d,11/5/2007,41.5079,-112.0152
1980,9ce5ca41-5200-4471-8787-edfd70944c05,Halvorson,Calissa,Lakeview Hospital,Bountiful,UT,84010.0,34411,Lakeview Hospital,CNO Lakeview Hosp,CEO Lakeview Hosp,53bcd147-a223-451d-8c59-176bf4ae0c6f,,40.8775,-111.8727
2015,fe1287fc-a558-427a-9af8-ad1085f1d9a1,Gottlieb,Beatrice,Brigham City Comm Hospital,Kaysville,UT,84037.0,87309,Brigham City Comm Hospital,Asst Dir SC Ops,CEO,9cd61df1-b529-47ec-9f6c-22c456c29214,,41.0375,-111.9326
2049,42a64099-4de1-4d5c-902d-e23ff93dfe99,Fritsch,Jock,Timpanogos Regional Medical Ct,Orem,UT,84059.0,80018,Dietary,Dir Food & Nutrition Svcs,COO,b4c2fb90-42ee-48fa-8091-031b089fffc8,,40.177,-111.536
2068,b4c2fb90-42ee-48fa-8091-031b089fffc8,Watsica,Rowene,Timpanogos Regional Medical Ct,Orem,UT,84059.0,34426,Timpanogos Reg Med Ctr,COO Timpanogos Reg Med Ctr,CEO Timpanogos Reg Med Ctr,653ea03c-d9de-484a-bec5-4bb68922e5ee,,40.177,-111.536
2075,65261802-19f3-4799-b7ae-b8eda5348002,Kuphal,Emile,Ogden Regional Medical Center,Draper,UT,84020.0,90627,Ogden Sim Center,Mgr Simulation/Technology,Div Dir Simulation/Technology,d97a0d02-f14c-4569-b7ab-14942c15ea49,,40.5046,-111.881
2079,d73f1154-e4c9-4e3c-b3ae-4b649589c7a8,Daniel,Ln13-05,Lone Peak Hospital,Draper,UT,84020.0,80014,Dietary,Executive Chef,Dir Food & Nutrition Svcs,d13f5744-53e4-49ab-9500-04ca5a0be37f,,40.5046,-111.881
2082,84f0bbb0-491a-491f-b5ab-0ce83bd76b24,Hahn,Baby-thu,St Marks Hospital,Salt Lake City,UT,84124.0,79716,Senior Center,Dir Outpatient Clinics,VP Operations,21975555-6237-44fd-b05a-64b776b55054,,40.6772,-111.8133
2233,3d9c0ec3-85c1-448b-9924-86c4fd41df98,O'Reilly,Serwa,West Valley Medical Center,Kaysville,UT,84037.0,71109,OR Mat Mgmt West Valley,Mgr OR Material,Dir SC Ops C,0be94de8-af26-4306-a2c7-e073a597e02e,,41.0375,-111.9326
2309,2169637b-b847-432e-8ac4-04aa4b257ee0,Ondricka,Nicholas,St Marks Hospital,Salt Lake City,UT,84124.0,60816,Patient Unit 5S Ortho/Trauma,Mgr Ortho/Trauma,Dir Med/Surg,30e42f04-9594-4fc1-92c8-994f0e8216c0,,40.6772,-111.8133
2312,7cbb62e4-541e-4b8c-86e2-70c660140524,Miller,Ryko,Timpanogos Regional Medical Ct,Orem,UT,84059.0,94618,Quality/Infection Control,Dir Quality,CMO,98ba62f5-575e-4efb-a45a-ed98cce0fcbf,,40.177,-111.536
2397,500e7f62-94d1-43b3-b44a-32912e275e25,Baumbach,Altron,St Marks Hospital,Salt Lake City,UT,84124.0,92516,Volunteers,Dir Volunteers/PBX,Asst Administrator,,,40.6772,-111.8133
2410,d7e0b529-7963-4e38-98ca-9ee656213515,Bailey,Jadieann,Timpanogos Regional Medical Ct,Orem,UT,84059.0,85718,Meaningful Use,Dir Clinical Informatics,Div VP Clinical Informatics,353057aa-2dc8-4b39-a93a-d1d5a0ffbfff,,40.177,-111.536
2600,0713d4c4-4977-493d-b8ca-0cefde0d3057,Friesen,Chyrl,St Marks Hospital,Salt Lake City,UT,84124.0,81016,Housekeeping,Mgr Environmental Svcs,Dir Environmental Svcs,01fc6750-02f9-4c52-b91b-3511cef7e23d,,40.6772,-111.8133
2658,653ea03c-d9de-484a-bec5-4bb68922e5ee,Fisher,Orange,Timpanogos Regional Medical Ct,Orem,UT,84059.0,34426,Timpanogos Reg Med Ctr,CEO Timpanogos Reg Med Ctr,Div President Mountain,c3db512f-6c95-4b50-be33-ad884ed8621e,,40.177,-111.536
2701,0574b572-f8b7-403d-bef7-549bbe7ffd77,Rau,Consecceon,MountainStar Healthcare,Salt Lake City,UT,84121.0,91612,Value Based Care,Mgr Case Mgmt Care Coord,Dir Population Health & Qualit,3678467f-9e4a-48c3-b580-6b1be6aece3a,,40.6226,-111.7777
2721,f946a328-3798-4369-9189-19afb458a130,Boyle,Aijalon,Lakeview Hospital,Bountiful,UT,84010.0,79320,Behavioral Health Outpatient,Mgr Behavioral Health Outpt,Dir Behavioral Health,,,40.8775,-111.8727
2754,22b26113-ba8f-451b-9df3-5e585d6d8b48,McLaughlin,Hilda,Ogden Regional Medical Center,Ogden,UT,84405.0,90017,Administration,Asst CNO,CNO,f44a2664-4932-44c1-adc6-463f8bac3b76,7/6/2018,41.1739,-111.9809
2810,b064c938-95d6-42e4-af61-305d79983f0f,Hammes,Libuse,Lakeview Hospital,Bountiful,UT,84010.0,70120,Operating Room,Mgr Surgery,Dir Surgical Svcs,d12bf860-ce79-4906-8495-b3fd3bd48452,8/19/2010,40.8775,-111.8727
2814,bd31cbbe-fc40-46cf-893e-d2769fa1535b,Beer,Arlita,Lone Peak Hospital,Draper,UT,84020.0,74614,Cath Lab,Mgr Cardiac Cath Lab,Dir Diagnostic Imaging,17db08cc-c88b-43f6-b433-7b0d36a422e9,,40.5046,-111.881
2887,d97a0d02-f14c-4569-b7ab-14942c15ea49,Jenkins,Magno,MountainStar Healthcare,Draper,UT,84020.0,90527,Sim Center,Div Dir Simulation/Technology,Div VP Clinical Education,c4f924c4-944c-4c31-8d13-5fb435bb6062,,40.5046,-111.881
2941,ee07ce8c-f341-4b94-99f1-c45729511a3f,Rice,Kearsen,Timpanogos Regional Medical Ct,Kaysville,UT,84037.0,87809,Timpanogos Reg Med Ctr,FAC SC Coord,Dir SC Ops C,98450fcd-1b12-4615-ae4d-fe66d69a7256,,41.0375,-111.9326
2953,09d1bd47-4b31-4b61-b148-52faf8e5c2ca,Wintheiser,Kanietha,Lakeview Hospital,Kaysville,UT,84037.0,87409,Lakeview Hospital,Dir SC Ops C,Div Dir SC Ops,502df710-9ca9-4d71-bb0c-863de74f2400,,41.0375,-111.9326
3003,31bfc4ed-7583-439f-b659-1d5b2a9a83bb,Murray,Quade,St Marks Hospital,Salt Lake City,UT,84124.0,64716,Progressive Care Unit,Mgr Progressive Care,Dir Critical Care,800c5eec-64a0-4097-a5a9-e7360c1072df,1/21/2023,40.6772,-111.8133
3090,270b6400-e381-4521-a891-260fd1bb7e08,Senger,Scott-adam,Ogden Regional Medical Center,Ogden,UT,84405.0,93017,BHU Overhead,Supv Behavioral Health,Mgr Behavioral Health/Rehab,8ab2e850-0c81-4584-a45c-18b3d4313274,,41.1739,-111.9809
3112,2f7a0338-67a1-4466-8985-3319fce5154b,Roberts,Bb-naelor,West Valley Medical Center,Kaysville,UT,84037.0,71809,Pharmacy Directors,Dir Pharm C,VP Pharm Svcs,c0840345-2f59-4a97-bf51-da828e0e7a3a,,41.0375,-111.9326
3216,8f13000a-fcf7-4e3d-9a43-e57168d2080d,Runolfsson,Celenna,Ogden Regional Medical Center,Ogden,UT,84405.0,63317,Intermediate Care Unit,Mgr Progressive Care IMCU,Dir Critical Care,304e7764-c750-46d5-8eb9-726d8f6da640,3/1/2021,41.1739,-111.9809
3224,108c8e6d-4f0d-45ad-b0fa-1c17c26f75b5,Kuhic,Daiben,Lone Peak Hospital,Draper,UT,84020.0,70714,Labor Delivery,Mgr L&D,Dir Womens Svcs,299ce1ef-1f79-4216-afba-4ab4ff172dfc,10/16/2017,40.5046,-111.881
3243,9524c116-1c97-4b00-b291-d7140e9a4573,Swaniawski,Aliyiah,Lakeview Hospital,Bountiful,UT,84010.0,91720,Quality Mgmt,Dir Quality/Risk Mgmt,CNO,9ce5ca41-5200-4471-8787-edfd70944c05,,40.8775,-111.8727
3281,2e1632d8-ec0a-4799-a10d-308c65750337,Gibson,Cane,St Marks Hospital,Salt Lake City,UT,84124.0,78116,Trauma,Mgr Trauma,Dir Trauma Program/Research,d052ad10-07d4-407c-a704-64ceb348e637,7/19/2017,40.6772,-111.8133
3298,b6d52fe2-e14a-4e50-9521-8e908e80e2e8,Kris,Jarenae,St Marks Hospital,Salt Lake City,UT,84124.0,60916,Patient Unit 5N CMSU,Mgr Med/Surg,Dir Med/Surg,30e42f04-9594-4fc1-92c8-994f0e8216c0,,40.6772,-111.8133
3315,19557587-605c-4bb4-bd14-0f10e63a7a9c,Mraz,Tera,Timpanogos Regional Medical Ct,Orem,UT,84059.0,70718,Labor & Delivery,Dir Womens Svcs,CNO,b688b7ff-1eef-4e8f-a2ea-7f9df3dd465a,,40.177,-111.536
3352,e13f8608-d995-4c7e-a3a1-0ab562134412,Kshlerin,Raenell,Ogden Regional Medical Center,Ogden,UT,84405.0,91317,CPOE,Dir Clinical Informatics,Div VP Clinical Informatics,353057aa-2dc8-4b39-a93a-d1d5a0ffbfff,,41.1739,-111.9809
3401,8ab2e850-0c81-4584-a45c-18b3d4313274,Kunde,Zetayah,Ogden Regional Medical Center,Ogden,UT,84405.0,93017,BHU Overhead,Mgr Behavioral Health/Rehab,Dir Alcohol/Chemical Treatment,,,41.1739,-111.9809
3474,909df9a4-4d43-4294-b5a3-0974a478c67a,Herzog,Demetric,Timpanogos Regional Medical Ct,Orem,UT,84059.0,64018,Pediatrics,Dir Womens/Childrens Svc,CNO,b688b7ff-1eef-4e8f-a2ea-7f9df3dd465a,2/8/2009,40.177,-111.536
3550,5c7c087e-7407-4fa4-a04d-4abeb526e361,Baumbach,Carmon,Ogden Regional Medical Center,Ogden,UT,84405.0,73617,Laboratory,Supv Laboratory,Dir Laboratory,,,41.1739,-111.9809
3562,5bbf74e2-be88-478c-baaa-af320a955cc4,Pagac,Kelie,MountainStar Healthcare,Salt Lake City,UT,84121.0,90074,Mountain Division,Div VP Strategy & Planning,Div President Mountain,c3db512f-6c95-4b50-be33-ad884ed8621e,,40.6226,-111.7777
3575,a5c1474a-21c1-4d5e-b52e-52d19e7997f1,Shanahan,Bb-deepti,St Marks Hospital,Salt Lake City,UT,84124.0,85416,Clinical Applications,Dir Clinical Informatics,Div VP Clinical Informatics,353057aa-2dc8-4b39-a93a-d1d5a0ffbfff,,40.6772,-111.8133
3613,800c5eec-64a0-4097-a5a9-e7360c1072df,Rau,Natekerria,St Marks Hospital,Salt Lake City,UT,84124.0,65016,Patient Unit ICU CCU,Dir Critical Care,CNO,cb68b1c4-36b8-4dd8-9875-740675e054a9,4/1/2017,40.6772,-111.8133
3696,65bc9289-aa55-4d44-b8d4-5a42bbb7b4a6,Herman,Jarell,MountainStar Healthcare,Salt Lake City,UT,84121.0,90074,Mountain Division,Div CNE Mountain,Div President Mountain,c3db512f-6c95-4b50-be33-ad884ed8621e,,40.6226,-111.7777
3709,611bbe0f-a27c-40f9-8713-7501eb036caf,Schmitt,Mittie,Ogden Regional Medical Center,Ogden,UT,84405.0,66017,Family Birth Place,Dir Womens/Childrens Svcs,Asst CNO,22b26113-ba8f-451b-9df3-5e585d6d8b48,,41.1739,-111.9809
3765,70ad242f-163a-4ad6-b19e-cca0485b9693,Schuster,Akin,St Marks Hospital,Salt Lake City,UT,84124.0,75516,Outpatient Wound Care,Dir Wound Care,VP Operations,21975555-6237-44fd-b05a-64b776b55054,,40.6772,-111.8133
3766,2c5621ab-0a90-4546-af64-e18895d4bf3e,Rempel,Surgounda,Lone Peak Hospital,Draper,UT,84020.0,75414,Resp Ther,Mgr Respiratory Therapy,Dir Diagnostic Imaging,17db08cc-c88b-43f6-b433-7b0d36a422e9,,40.5046,-111.881
3829,3efa211b-ddf4-42a8-8062-8905c8df2752,Ruecker,Winzel,St Marks Hospital,Salt Lake City,UT,84124.0,73916,Vascular Lab,Mgr Ultrasound Vascular,Dir Diagnostic Imaging,f95d1325-deb1-4519-871c-ef53262b44be,,40.6772,-111.8133
3838,234d3973-3c26-4ab7-9c00-30fa47da38d2,Hand,Zylin,Lakeview Hospital,Bountiful,UT,84010.0,60020,Nursing Administration,Supv House Admin PRN,Dir Acute Care,55993f25-6d6f-4754-87f9-630a92b9cdb5,,40.8775,-111.8727
3863,d74e925f-9213-4b43-8b11-4aa62d831438,Collier,Vassiliki,Lakeview Hospital,Bountiful,UT,84010.0,60020,Nursing Administration,Supv House Admin,Dir Acute Care,55993f25-6d6f-4754-87f9-630a92b9cdb5,,40.8775,-111.8727
3867,b5ec6aaa-3deb-4e09-a21f-cbe0ba0544c1,Stehr,Nghien,Ogden Regional Medical Center,Kaysville,UT,84037.0,71809,Pharmacy Directors,Dir Pharm D,VP Pharm Svcs,c0840345-2f59-4a97-bf51-da828e0e7a3a,,41.0375,-111.9326
3896,9f930da1-49b7-43bd-9042-cc96bce75f8c,Muller,Shakeshia,Ogden Regional Medical Center,Ogden,UT,84405.0,78717,Ogden North FSED,Mgr Emergency Svcs FSED,Dir Emergency Svcs,1ea34867-8607-4579-aa09-ec40273a3b4c,,41.1739,-111.9809
3938,9a07f278-11e9-4f03-b8bd-59ef9bb4bc8f,Shanahan,Bb-nancy,Lakeview Hospital,Bountiful,UT,84010.0,60020,Nursing Administration,Supv House Admin,Dir Acute Care,55993f25-6d6f-4754-87f9-630a92b9cdb5,,40.8775,-111.8727
4083,b6f6b3e7-4226-461b-8c59-2998933facd4,Brakus,Tap,Ogden Regional Medical Center,Ogden,UT,84405.0,67517,Neonatal Intensive Care Unit,Mgr Pediatric ICU/NICU,Dir Womens/Childrens Svcs,611bbe0f-a27c-40f9-8713-7501eb036caf,10/7/2012,41.1739,-111.9809
4145,b39875f8-1d36-4299-afb0-66a0b9835744,Mills,Benchley,St Marks Hospital,Salt Lake City,UT,84124.0,78016,Emergency Care,Dir Emergency Svcs,CNO,cb68b1c4-36b8-4dd8-9875-740675e054a9,,40.6772,-111.8133
4146,11c634c1-985e-44cb-af9d-b8e0a62b48d5,Walker,Gayden,Timpanogos Regional Medical Ct,Orem,UT,84059.0,60118,Nursing Administration,Supv House Admin,CNO,b688b7ff-1eef-4e8f-a2ea-7f9df3dd465a,,40.177,-111.536
4222,0a1417ef-f7a9-48a8-98d6-eec60daa12a7,Durgan,Bg-anita,Mountain Supply Chain,Kaysville,UT,84037.0,71509,Pharmacy,Div Dir Clin Pharm Svcs,VP Pharm Svcs,c0840345-2f59-4a97-bf51-da828e0e7a3a,,41.0375,-111.9326
4279,b0957103-c4e4-4ed1-86cb-e2c710be8580,Dare,Luquedia,MountainStar Healthcare,Salt Lake City,UT,84121.0,94612,Quality,Div AVP Quality,Div VP Quality,2b7ad637-e569-4adc-a6fe-d50be44f7590,,40.6226,-111.7777
4284,c65f605e-43af-4dcf-8419-839d74b70999,Cremin,Farhan,Ogden Regional Medical Center,Ogden,UT,84405.0,83117,Plant Operations,Mgr Facilities Mgmt,Dir Facilities Mgmt,15431e23-9723-4452-9b4d-cd20102a1fff,,41.1739,-111.9809
